0.78686,0.78686,1.0724
0.36576,0.36576,1.2787
0.17884,0.47158,1.2539
0.4563,1.0667,1.3463
0.036935,0.97941,1.3635
0.76386,0.76386,1.2011
0.33702,1.0234,1.1628
0.45755,0.93489,1.0436
0.1975,0.70704,1.04
0.92809,0.92809,1.132
0.039829,1.2693,1.3723
0.35309,1.1818,1.1818
0.53781,1.0564,1.0564
0.1573,0.1573,1.0717
0.74249,0.86816,1.0563
0.83924,1.0099,1.0099
0.44163,0.44163,1.3774
0.19781,1.1481,1.1481
0.028704,0.27974,1.1309
0.6511,0.66089,1.234
0.49617,0.49617,1.0909
0.52843,0.52843,1.3641
0.30589,1.0753,1.0753
0.97374,0.97374,1.002
0.24198,0.24198,1.1766
0.42463,0.42463,1.4324
0.44036,0.59031,1.7683
0.45181,1.1561,1.1561
0.38674,1.1,1.1807
0.55515,0.55515,1.192
0.87822,0.87822,1.0554
0.70886,0.70886,1.0215
0.69519,0.69519,1.4445
1.0552,1.0552,1.2624
0.41659,0.48542,1.043
0.55804,1.1304,1.1304
0.22721,0.50259,1.5528
0.31958,0.99387,1.1332
0.51515,1.3386,1.3386
0.6164,0.6164,1.1764
0.15686,0.15686,1.6518
0.36151,0.36151,1.6532
0.27262,0.27262,1.1228
0.046708,0.96,1.086
0.58682,1.2167,1.2167
0.22497,1.0404,1.0404
0.43989,0.43989,1.0136
0.41899,0.99725,1.236
0.79908,0.79908,1.5745
0.01462,0.80834,1.761
0.56809,0.6595,1.3672
0.084888,0.084888,1.0107
0.061429,0.89121,1.2482
0.9064,0.9064,0.95501
0.45353,0.45353,0.73272
0.081145,0.85907,0.85907
0.40681,0.69547,0.69547
0.077502,0.74052,0.90108
0.023042,0.65834,0.80369
0.59402,0.85863,0.97419
0.52082,0.74305,0.74305
0.60916,0.60916,0.86851
0.79439,0.89089,0.89089
0.30254,0.32883,0.32883
0.7432,0.7432,0.77599
0.30972,0.34877,0.72699
0.11576,0.3905,0.56979
0.090384,0.8859,0.8859
0.27677,0.88732,0.89006
0.60036,0.77507,0.77507
0.24924,0.39205,0.49331
0.22768,0.22768,0.58564
0.44457,0.44457,0.94315
0.53529,0.53529,0.69153
0.61568,0.61568,0.82404
0.2527,0.2527,0.8956
0.75502,0.76925,0.76925
0.50183,0.92021,0.92021
0.16452,0.8304,0.8304
0.14453,0.65845,0.65845
0.043471,0.74231,0.74231
0.49203,0.49203,0.59426
0.42792,0.90803,0.90803
0.7931,0.79936,0.79936
0.79763,0.79763,0.95208
0.30063,0.30063,0.52584
0.12919,0.731,0.94125
0.49174,0.6059,0.6059
0.036431,0.28095,0.28095
0.46777,0.46777,0.77288
0.73329,0.96728,0.96728
0.38105,0.38105,0.98589
0.64584,0.67192,0.67192
0.18463,0.70577,0.70577
0.12507,0.80733,0.80733
0.22918,0.8863,0.8863
0.35551,0.35551,0.58593
0.35466,0.61919,0.61919
0.16667,0.50458,0.50458
0.54281,0.61732,0.61732
0.46816,0.96903,0.96903
