"epsilon","bools","stable","falsePos","A","B","stableA","controlableA","stabEig","unStabEig","eig",
1.5,100,99,1,"[-0.595849806903137 0.932105499223998 0.440329224035959;-0.0922130686389562 0.240110108266947 -0.306209619424773;-0.144178160359658 0.390779903836007 0.0339808410506204]","[0.113389264024204 0.389606578216912;-0.687009561771911 -0.147088928579525;0.12411209112355 0.672540841352628]",1,1,3,0,-0.30254+0i      -0.0096082-0.32869i      -0.0096082+0.32869i,
2,100,99,1,"[-0.595849806903137 0.932105499223998 0.440329224035959;-0.0922130686389562 0.240110108266947 -0.306209619424773;-0.144178160359658 0.390779903836007 0.0339808410506204]","[0.113389264024204 0.389606578216912;-0.687009561771911 -0.147088928579525;0.12411209112355 0.672540841352628]",1,1,3,0,-0.30254+0i      -0.0096082-0.32869i      -0.0096082+0.32869i,
2.2,100,100,0,"[-0.595849806903137 0.932105499223998 0.440329224035959;-0.0922130686389562 0.240110108266947 -0.306209619424773;-0.144178160359658 0.390779903836007 0.0339808410506204]","[0.113389264024204 0.389606578216912;-0.687009561771911 -0.147088928579525;0.12411209112355 0.672540841352628]",1,1,3,0,-0.30254+0i      -0.0096082-0.32869i      -0.0096082+0.32869i,
2.4,100,100,0,"[-0.595849806903137 0.932105499223998 0.440329224035959;-0.0922130686389562 0.240110108266947 -0.306209619424773;-0.144178160359658 0.390779903836007 0.0339808410506204]","[0.113389264024204 0.389606578216912;-0.687009561771911 -0.147088928579525;0.12411209112355 0.672540841352628]",1,1,3,0,-0.30254+0i      -0.0096082-0.32869i      -0.0096082+0.32869i,
2.6,100,100,0,"[-0.595849806903137 0.932105499223998 0.440329224035959;-0.0922130686389562 0.240110108266947 -0.306209619424773;-0.144178160359658 0.390779903836007 0.0339808410506204]","[0.113389264024204 0.389606578216912;-0.687009561771911 -0.147088928579525;0.12411209112355 0.672540841352628]",1,1,3,0,-0.30254+0i      -0.0096082-0.32869i      -0.0096082+0.32869i,
0.5,100,28,72,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
1,100,10,90,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
1.5,100,5,95,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
2,100,4,96,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
2.2,100,11,89,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
2.4,100,15,85,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
2.6,100,13,87,"[0.462774132323866 -0.227220202815655 -0.139444309851689;-0.279937915828457 0.551109284501071 0.387505148267827;-0.0915752562932028 0.468542211371879 0.890426974336921]","[0.568465196463482 -0.22013868568703;0.411143716262138 0.181809460810673;-0.781331520951309 -0.0812399040673493]",0,1,2,1,1.2539     0.47158     0.17884,
0.5,100,68,32,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
1,100,23,77,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
1.5,100,19,81,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
2,100,12,88,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
2.2,100,13,87,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
2.4,100,12,88,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
2.6,99,12,87,"[-0.899320026522092 -0.968710614606946 0.338085180163111;-0.542624831959558 0.727421730111731 0.000422648562204753;0.668378122113799 -0.843861893935131 -0.564012402499693]","[0.143231450808178 0.199171096245628;-0.75562169815316 -0.888047685224419;0.342332465977306 -0.887313962913286]",0,1,1,2,1.0667     -1.3463     -0.4563,
0.5,100,88,12,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
1,100,100,0,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
1.5,100,98,2,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
2,100,100,0,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
2.2,100,99,1,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
2.4,100,100,0,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
2.6,100,100,0,"[-0.694998725995059 0.664442950565635 0.727736445867221;-0.960757866468832 0.234780342908169 -0.804604163677114;-0.129648908606096 0.0402588306214839 0.816104406373538]","[-0.783966611726482 0.118741144806008;0.0339935161938898 -0.990840752105353;-0.713687955832848 0.533363997242975]",1,1,3,0,-0.21005-0.7129i         -0.21005+0.7129i               0.77599+0i,
0.5,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
1,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
1.5,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
2,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
2.2,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
2.4,100,100,0,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
2.6,100,99,1,"[0.697418452916565 0.0102662035976451 0.0156976616590732;0.833642540507476 -0.45715675116497 0.171218251403757;0.973936549567316 -0.798498976157529 0.525774191821482]","[-0.834074701778912 -0.657903964949106;0.323192386165428 0.877115728663685;0.0339580294124262 0.180966354285143]",1,1,3,0,-0.30972     0.72699     0.34877,
0.5,100,100,0,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
1,100,99,1,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
1.5,100,98,2,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
2,100,98,2,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
2.2,100,100,0,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
2.4,100,99,1,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
2.6,100,100,0,"[-0.11873063847832 -0.0961085814792284 0.10777413158255;0.883837860622566 0.679394841439338 0.360131060166721;0.311827640514283 0.0652470049486926 -0.265620189365265]","[-0.521418787612909 -0.186446479569549;0.157846984918187 -0.774769717949906;0.733774109345016 -0.112308326546085]",1,1,3,0,0.56979     0.11576     -0.3905,
0.5,100,99,1,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
1,100,100,0,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
1.5,100,100,0,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
2,100,99,1,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
2.2,100,100,0,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
2.4,100,100,0,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
2.6,100,100,0,"[-0.3996311975722 -0.192742674452786 -0.719489281461111;-0.197226292371014 -0.219648123738787 -0.47973961177512;0.666727126906269 -0.279102213242111 -0.826369798268333]","[-0.141205325828389 -0.150283176590748;-0.48543443046028 -0.761585481157426;-0.404889231697763 -0.00986615239908173]",1,1,3,0,-0.67763-0.57065i        -0.67763+0.57065i             -0.090384+0i,
0.5,100,100,0,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
1,100,91,9,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
1.5,100,68,32,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
2,100,50,50,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
2.2,100,61,39,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
2.4,100,48,52,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
2.6,100,55,45,"[0.412814455075121 -0.851820846278146 -0.558646216133952;-0.512853254638098 -0.212233146036607 -0.997398862598808;0.570140163868012 -0.993211754071385 -0.62164065801053]","[-0.715031890358057 -0.722702056814809;-0.463848001753248 0.19777122073573;-0.650215869328434 0.802115811365451]",0,1,2,1,0.97941   -0.036935     -1.3635,
0.5,100,100,0,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
1,100,100,0,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
1.5,100,100,0,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
2,100,100,0,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
2.2,100,99,1,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
2.4,100,99,1,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
2.6,100,100,0,"[0.878759531768476 -0.247977768150491 -0.863285559058342;-0.557631088121844 0.047560073931739 -0.127345845039795;-0.0346572492071724 -0.47025481290282 -0.652293925269998]","[-0.94778578369019 0.923117146207326;0.909356548160899 0.524828968005986;-0.138806960281165 -0.985302677794306]",1,1,3,0,0.88732     0.27677    -0.89006,
0.5,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
1,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
1.5,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
2,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
2.2,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
2.4,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
2.6,100,100,0,"[0.360077280920277 0.10461968901546 -0.5439433527991;0.411901508497767 -0.56378254043344 -0.25827056205319;0.290257573214765 0.544732427226085 0.78185764205139]","[0.712753815456521 0.217270861269979;-0.195132900373112 0.820390453388963;-0.36396176500653 0.818196375601765]",1,1,3,0,-0.60036+0i          0.58926-0.5035i          0.58926+0.5035i,
0.5,100,100,0,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
1,100,99,1,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
1.5,100,99,1,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
2,100,98,2,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
2.2,100,100,0,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
2.4,100,100,0,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
2.6,100,100,0,"[0.183188817814876 -0.11520421391767 0.0648529650002652;-0.334857185328898 0.808710956435887 0.432994693008764;0.706127258419838 -0.933641188095745 -0.641396312356421]","[-0.326934148397875 -0.192286577539587;-0.624574102849465 0.0971325997139272;-0.356145633634152 -0.902522814435467]",1,1,3,0,-0.39205     0.24924     0.49331,
0.5,100,87,13,"[0.105464266357885 -0.513709641186899 0.8713227510332;-0.450377190324999 -0.691681101659851 0.637428874416488;-0.516996516531776 0.912832722016048 0.456523695645668]","[-0.648376543448941 -0.997603206319913;-0.279258045915093 -0.367160972534914;-0.62242005471679 0.399233972794111]",0,1,2,1,0.53569-0.54453i         0.53569+0.54453i               -1.2011+0i,
1,100,40,60,"[0.105464266357885 -0.513709641186899 0.8713227510332;-0.450377190324999 -0.691681101659851 0.637428874416488;-0.516996516531776 0.912832722016048 0.456523695645668]","[-0.648376543448941 -0.997603206319913;-0.279258045915093 -0.367160972534914;-0.62242005471679 0.399233972794111]",0,1,2,1,0.53569-0.54453i         0.53569+0.54453i               -1.2011+0i,
1.5,100,31,69,"[0.105464266357885 -0.513709641186899 0.8713227510332;-0.450377190324999 -0.691681101659851 0.637428874416488;-0.516996516531776 0.912832722016048 0.456523695645668]","[-0.648376543448941 -0.997603206319913;-0.279258045915093 -0.367160972534914;-0.62242005471679 0.399233972794111]",0,1,2,1,0.53569-0.54453i         0.53569+0.54453i               -1.2011+0i,
2,100,26,74,"[0.105464266357885 -0.513709641186899 0.8713227510332;-0.450377190324999 -0.691681101659851 0.637428874416488;-0.516996516531776 0.912832722016048 0.456523695645668]","[-0.648376543448941 -0.997603206319913;-0.279258045915093 -0.367160972534914;-0.62242005471679 0.399233972794111]",0,1,2,1,0.53569-0.54453i         0.53569+0.54453i               -1.2011+0i,
